職務類別,工作地區,學歷要求,工作經驗,公司規模,產業類別,上班時間,需求技能數量,薪資,職缺名稱,公司名稱
化工,桃園市觀音區,專科,不拘,38,化學原料製造業,日班,3,46500,【觀音廠】生產製程工程師,久資化工科技股份有限公司
化工,台北市信義區,碩士,不拘,0,其它軟體及網路相關業,日班,0,55000,生成式 AI 技術核心 / 影音自動化工程師,侍達遊戲藝術有限公司
化工,台北市內湖區,碩士,不拘,50,工商顧問服務業,日班,4,44000,智慧財產權工程師（材料/化學/化工）,長江國際專利商標法律事務所
化工,桃園市觀音區,大學,不拘,1250,化學原料製造業,夜班,0,43500,二廠區-色料事業-化工製程儲備幹部(有經驗者薪另議，另加營運獎金、輪班津貼、週休二日)(提供員工宿舍),臺灣永光化學工業股份有限公司
化工,彰化縣線西鄉,專科,不拘,480,化學原料製造業,日班,0,34000,【彰濱廠區】警衛人員,勝一化工股份有限公司
化工,桃園市觀音區,碩士,不拘,0,環境衛生及污染防治服務業,日班,3,40000,實驗室工程師/研發工程師【新廠徵才 桃園觀音-甲級廢棄物處理廠】,盛豐環保科技股份有限公司
化工,新竹縣竹東鎮,碩士,不拘,6000,其他專業／科學及技術業,夜班,0,220,工研院機械所_材料化工實習生(M500),工研院 _財團法人工業技術研究院
化工,高雄市林園區,大學,不拘,300,其他相關製造業,日班,1,44500,機械工程師,南帝化學工業股份有限公司
化工,高雄市仁武區,專科,不拘,5000,化學原料製造業,日班,4,34000,化工操作員(高雄仁武),台聚集團_台聚管理顧問股份有限公司
化工,印度,大學,不拘,390,塑膠製品製造業,夜班,4,69000,海外行銷業務儲備幹部(印度),三芳化學工業股份有限公司
化工,高雄市小港區,專科,不拘,480,化學原料製造業,日班,0,41000,【高雄洲際】機械助理工程師,勝一化工股份有限公司
化工,高雄市小港區,專科,不拘,5000,化學原料製造業,日班,0,37000,化工操作員(石化油品中心),台聚集團_台聚管理顧問股份有限公司
化工,彰化縣線西鄉,碩士,不拘,50,化學原料及其製品批發業,日班,0,33500,倉管人員(線西),元成化工原料股份有限公司
化工,桃園市楊梅區,大學,不拘,55,汽機車及其零配件用品／批發業,日班,0,41500,研發人員（化工）,黑珍珠國際企業有限公司
化工,桃園市觀音區,碩士,不拘,133,化學原料製造業,日班,0,50000,環安衛管理人員,台界化學工業股份有限公司
化工,新竹縣湖口鄉,專科,不拘,120,化學原料製造業,日班,0,35000,製程助理工程師(一廠),穩好高分子化學工業股份有限公司
化工,高雄市林園區,專科,不拘,5000,化學原料製造業,日班,0,34000,化工操作員(亞聚公司),台聚集團_台聚管理顧問股份有限公司
